fecha,producto,categoria,cantidad,precio_unitario,total,canal,region
2025-06-01,Bloques Creativos 500pz,Juguetes,2,898.50,1797,Online,CDMX
2025-06-01,Barra de Sonido 2.1,Electrónica,1,3499,3499,Tienda física,Chihuahua
2025-06-01,Kit Bandas Elásticas,Deportes,2,299,598,Móvil App,Jalisco
2025-06-02,Chamarra Denim Classic,Moda,1,1299,1299,Tienda física,Puebla
2025-06-03,Camiseta Basic Cotton,Moda,2,399,798,Tienda física,CDMX
2025-06-03,Set de Sábanas Queen 600h,Hogar,2,1199,2398,Marketplace,Yucatán
2025-06-03,Smartwatch Fit 3,Electrónica,2,2639,5278,Marketplace,Nuevo León
2025-06-04,Secadora Iónica 2200W,Belleza,1,1499,1499,Online,Chihuahua
2025-06-04,Bicicleta Urbana R26,Deportes,1,7999,7999,Online,CDMX
2025-06-05,Cafetera Espresso Deluxe,Hogar,1,4598.50,4598.50,Móvil App,Jalisco
2025-06-06,Juego de Mesa Familiar,Juguetes,1,449,449,Online,Puebla
2025-06-06,Teclado Mecánico RGB,Electrónica,1,1599,1599,Online,Jalisco
2025-06-07,Perfume Noir Intense 100ml,Belleza,2,1898.50,3797,Online,CDMX
2025-06-07,Licuadora Turbo 1200W,Hogar,3,1274,3822,Online,Puebla
2025-06-08,Rizador de Pelas Digital,Belleza,1,899,899,Online,Nuevo León
2025-06-08,Kit Bandas Elásticas,Deportes,2,299,598,Online,CDMX
2025-06-08,Balón Soccer Pro FIFA,Deportes,1,549,549,Marketplace,Nuevo León
2025-06-09,Smartphone X5,Electrónica,4,8998.50,35994,Marketplace,Puebla
2025-06-10,Bloques Creativos 500pz,Juguetes,2,719,1438,Móvil App,Yucatán
2025-06-10,Secadora Iónica 2200W,Belleza,6,1499,8994,Marketplace,Nuevo León
2025-06-10,Rizador de Pelas Digital,Belleza,1,809,809,Marketplace,CDMX
2025-06-11,Auto RC Turbo Rally,Juguetes,2,779,1558,Móvil App,Nuevo León
2025-06-11,Bolso de Cuero Milano,Moda,1,1898.50,1898.50,Marketplace,Nuevo León
2025-06-11,Pantalón Chino Slim,Moda,5,948.50,4742.50,Marketplace,Jalisco
2025-06-11,Lentes de Sol Retro,Moda,2,759,1518,Tienda física,CDMX
2025-06-11,Purificador de Aire Mini,Hogar,3,2899,8697,Marketplace,Chihuahua
2025-06-12,Camiseta Basic Cotton,Moda,2,399,798,Online,Yucatán
2025-06-12,Barra de Sonido 2.1,Electrónica,1,3499,3499,Online,Jalisco
2025-06-13,Perfume Noir Intense 100ml,Belleza,2,1898.50,3797,Online,Jalisco
2025-06-13,Perfume Noir Intense 100ml,Belleza,1,1898.50,1898.50,Tienda física,CDMX
2025-06-14,Set Ciencia Experimentos,Juguetes,1,535,535,Online,Yucatán
2025-06-14,Audífonos ANC Studio,Electrónica,1,2499,2499,Tienda física,Nuevo León
2025-06-16,Cafetera Espresso Deluxe,Hogar,1,4598.50,4598.50,Online,Jalisco
2025-06-17,Mancuernas Ajustables 10kg,Deportes,1,998.50,998.50,Marketplace,Chihuahua
2025-06-17,Aspiradora Robot Clean+,Hogar,2,5998.50,11997,Tienda física,Nuevo León
2025-06-17,Tenis Runner Air,Moda,2,2199,4398,Marketplace,CDMX
2025-06-18,Cámara Action Go,Electrónica,2,7999,15998,Tienda física,CDMX
2025-06-18,Juego de Mesa Familiar,Juguetes,3,449,1347,Marketplace,Jalisco
2025-06-21,Licuadora Turbo 1200W,Hogar,5,1699,8495,Móvil App,Jalisco
2025-06-21,Dron Junior HD,Juguetes,3,1599,4797,Online,Chihuahua
2025-06-22,Set Ciencia Experimentos,Juguetes,1,503,503,Tienda física,Yucatán
2025-06-22,Smart TV 55'',Electrónica,2,11499,22998,Online,Yucatán
2025-06-22,Tablet Galaxy 10",Electrónica,3,6499,19497,Online,Jalisco
2025-06-22,Teclado Mecánico RGB,Electrónica,1,1598.50,1598.50,Online,CDMX
2025-06-23,Audífonos ANC Studio,Electrónica,1,2498.50,2498.50,Online,CDMX
2025-06-24,Lámpara LED Inteligente,Hogar,1,439,439,Móvil App,Nuevo León
2025-06-24,Laptop Pro 14,Electrónica,1,18998.50,18998.50,Marketplace,CDMX
2025-06-24,Consola Next X,Electrónica,5,13998.50,69992.50,Online,Jalisco
2025-06-25,Lámpara LED Inteligente,Hogar,2,548.50,1097,Móvil App,Chihuahua
2025-06-25,Tablet Galaxy 10",Electrónica,5,6499,32495,Online,Yucatán
2025-06-26,Lámpara LED Inteligente,Hogar,1,494,494,Marketplace,CDMX
2025-06-26,Lámpara LED Inteligente,Hogar,2,494,988,Tienda física,CDMX
2025-06-26,Consola Next X,Electrónica,3,13998.50,41995.50,Móvil App,Jalisco
2025-06-27,Smartphone X5,Electrónica,1,8999,8999,Online,Nuevo León
2025-06-27,Camiseta Basic Cotton,Moda,3,399,1197,Marketplace,Chihuahua
2025-06-27,Aspiradora Robot Clean+,Hogar,6,5399,32394,Online,CDMX
2025-06-27,Consola Next X,Electrónica,2,12599,25198,Online,Nuevo León
2025-06-28,Camiseta Basic Cotton,Moda,2,319,638,Tienda física,Nuevo León
2025-06-29,Casco Ciclismo Aero,Deportes,2,1298.50,2597,Marketplace,CDMX
2025-06-29,Crema Hidratante Aloe,Belleza,1,389,389,Tienda física,Nuevo León
2025-06-29,Set Ciencia Experimentos,Juguetes,1,472,472,Marketplace,Yucatán
2025-06-29,Smartwatch Fit 3,Electrónica,1,3299,3299,Móvil App,CDMX
2025-06-30,Smart TV 55'',Electrónica,2,11499,22998,Móvil App,Chihuahua
2025-07-01,Dron Junior HD,Juguetes,2,1519,3038,Marketplace,Jalisco
2025-07-02,Cámara Action Go,Electrónica,2,7998.50,15997,Online,Nuevo León
2025-07-03,Camiseta Basic Cotton,Moda,2,399,798,Online,CDMX
2025-07-04,Cámara Action Go,Electrónica,1,7998.50,7998.50,Móvil App,Puebla
2025-07-04,Bicicleta Urbana R26,Deportes,3,7999,23997,Marketplace,Puebla
