fecha,producto,categoria,cantidad,precio_unitario,total,canal,region
01/01/2026,Cafetera Espresso Deluxe,Hogar,3,3909,11727,Online,CDMX
,Cámara Action Go,Electrónica,,7999,,Marketplace,Yucatán
01/01/2026,Mancuernas Ajustables 10kg,Deportes,,999,999,Marketplace,Yucatán
01/01/2026,Smart TV 55'',Electrónica,,11499,11499,Online,
01/01/2026,Purificador de Aire Mini,Hogar,3,2899,8697,Online,Puebla
01/01/2026,Smartwatch Fit 3,Electrónica,1,3299,3299,Tienda física,CDMX
01/02/2026,Chamarra Denim Classic,Moda,1,1299,1299,Online,Nuevo León
01/02/2026,Smartphone X5,Electrónica,,8998.50,8998.50,Marketplace,Nuevo León
01/02/2026,Bloques Creativos 500pz,Juguetes,,899,899,Marketplace,CDMX
,Smartwatch Fit 3,Electrónica,6,3299,19794,Online,Nuevo León
01/09/2025,Set Ciencia Experimentos,Juguetes,3,628.50,1885.50,Móvil App,Yucatán
01/09/2025,Bloques Creativos 500pz,Juguetes,1,898.50,898.50,Tienda física,Yucatán
01/09/2025,Audífonos ANC Studio,Electrónica,2,1999,3998,Tienda física,Yucatán
01/09/2025,Dron Junior HD,Juguetes,4,1599,6396,Online,CDMX
01/09/2025,Secadora Iónica 2200W,Belleza,3,1498.50,4495.50,,Nuevo León
01/09/2025,Kit Bandas Elásticas,Deportes,1,254,254,Móvil App,Nuevo León
01/09/2025,Bloques Creativos 500pz,Juguetes,2,899,1798,Tienda física,Nuevo León
01/09/2025,Cafetera Espresso Deluxe,Hogar,2,4599,9198,Online,Yucatán
01/10/2025,Banda de Correr Plegable,Deportes,2,12498.50,24997,Online,CDMX
01/10/2025,Dron Junior HD,Juguetes,1,1599,1599,,Chihuahua
01/10/2025,Peluche Oso Gigante 1.5m,Juguetes,1,548.50,548.50,Online,Nuevo León
01/10/2025,Rizador de Pelas Digital,Belleza,1,898.50,898.50,Online,Puebla
01/11/2025,Auto RC Turbo Rally,Juguetes,,701,,Móvil App,
01/11/2025,Mancuernas Ajustables 10kg,Deportes,1,999,999,Tienda física,CDMX
01/11/2025,Perfume Noir Intense 100ml,Belleza,1,1424,1424,Tienda física,CDMX
01/11/2025,Lámpara LED Inteligente,Hogar,2,548.50,1097,,Jalisco
01/11/2025,,Belleza,1,389,389,,CDMX
01/12/2025,Smart TV 55'',Electrónica,1,11499,11499,Tienda física,Chihuahua
01/12/2025,Perfume Noir Intense 100ml,Belleza,2,1899,3798,Marketplace,Yucatán
01/12/2025,,Electrónica,2,1599,3198,Móvil App,Nuevo León
01/12/2025,Smart TV 55'',Electrónica,1,11499,11499,Móvil App,Jalisco
02/01/2026,Chamarra Denim Classic,Moda,1,1299,,Tienda física,Jalisco
02/01/2026,Sudadera Hoodie Urban,Moda,2,899,1798,Móvil App,Nuevo León
02/01/2026,Set Ciencia Experimentos,Juguetes,1,629,629,Tienda física,Jalisco
02/01/2026,Aspiradora Robot Clean+,Hogar,2,5998.50,11997,Móvil App,Puebla
02/01/2026,Dron Junior HD,Juguetes,1,1598.50,1598.50,Tienda física,CDMX
02/02/2026,Set Ciencia Experimentos,Juguetes,2,629,1258,Online,Puebla
02/02/2026,,Electrónica,1,18999,18999,Online,Puebla
02/02/2026,Consola Next X,Electrónica,1,11199,11199,Online,Yucatán
02/02/2026,Smartwatch Fit 3,Electrónica,1,3298.50,3298.50,Marketplace,Puebla
02/02/2026,Paleta de Sombras Nude,Belleza,,499,1497,Tienda física,Nuevo León
02/02/2026,Juego de Mesa Familiar,Juguetes,2,449,898,Online,Chihuahua
02/02/2026,Crema Hidratante Aloe,Belleza,1,389,,Online,Jalisco
02/02/2026,Balón Soccer Pro FIFA,Deportes,1,494,494,,Nuevo León
02/09/2025,Tablet Galaxy 10",Electrónica,2,6499,12998,,Jalisco
02/09/2025,Tablet Galaxy 10",Electrónica,3,5199,15597,Online,Puebla
02/09/2025,Smartwatch Fit 3,Electrónica,1,3299,3299,Tienda física,Jalisco
02/10/2025,Camiseta Basic Cotton,Moda,2,399,798,,Chihuahua
02/10/2025,Audífonos ANC Studio,Electrónica,1,2499,2499,Online,CDMX
02/10/2025,Bloques Creativos 500pz,Juguetes,2,898.50,1797,Online,Jalisco
02/10/2025,Paleta de Sombras Nude,Belleza,1,499,499,Marketplace,Chihuahua
02/10/2025,,Juguetes,4,535,2140,Online,CDMX
02/11/2025,Audífonos ANC Studio,Electrónica,1,2499,2499,Online,Yucatán
02/11/2025,Purificador de Aire Mini,Hogar,1,2174,2174,Tienda física,Nuevo León
02/11/2025,Juego de Ollas Antiadherentes,Hogar,1,2399,2399,Marketplace,Chihuahua
02/11/2025,Cámara Action Go,Electrónica,1,7998.50,7998.50,Marketplace,CDMX
02/12/2025,Bolso de Cuero Milano,Moda,1,,1899,Marketplace,
02/12/2025,Audífonos ANC Studio,Electrónica,2,2249,4498,Online,CDMX
02/12/2025,Sudadera Hoodie Urban,Moda,2,899,1798,Online,Jalisco
02/12/2025,Banda de Correr Plegable,Deportes,1,12499,12499,Online,
03/01/2026,Juego de Ollas Antiadherentes,Hogar,1,2398.50,2398.50,Móvil App,Nuevo León
03/01/2026,Rizador de Pelas Digital,Belleza,1,899,,Online,CDMX
03/01/2026,Laptop Pro 14,Electrónica,3,18049,54147,Online,Puebla
03/01/2026,Rizador de Pelas Digital,Belleza,1,899,899,,Jalisco
03/01/2026,Auto RC Turbo Rally,Juguetes,2,779,1558,Marketplace,Yucatán
03/02/2026,Laptop Pro 14,Electrónica,2,18998.50,37997,Online,CDMX
03/02/2026,Balón Soccer Pro FIFA,Deportes,1,548.50,548.50,Marketplace,Jalisco
03/02/2026,,Deportes,1,11249,11249,Marketplace,Yucatán
03/02/2026,Smartphone X5,Electrónica,2,8999,17998,Marketplace,Jalisco
03/02/2026,Tablet Galaxy 10",Electrónica,1,6499,6499,Online,Jalisco
03/09/2025,Laptop Pro 14,Electrónica,4,18998.50,75994,Marketplace,Puebla
03/09/2025,Smartphone X5,Electrónica,1,7649,7649,Tienda física,Nuevo León
03/10/2025,Rizador de Pelas Digital,Belleza,3,899,2697,Online,Jalisco
03/10/2025,Lámpara LED Inteligente,Hogar,3,549,1647,Online,Jalisco
03/10/2025,Audífonos ANC Studio,Electrónica,3,2498.50,7495.50,,Puebla
03/10/2025,Aspiradora Robot Clean+,Hogar,,5999,5999,,CDMX
03/11/2025,Serum Vitamina C 30ml,Belleza,2,626,1252,Tienda física,
03/11/2025,Tablet Galaxy 10",Electrónica,2,6498.50,12997,Marketplace,Jalisco
03/11/2025,Cámara Action Go,Electrónica,1,7999,7999,Online,CDMX
03/11/2025,Smartwatch Fit 3,Electrónica,3,2804,8412,Marketplace,Chihuahua
03/11/2025,Licuadora Turbo 1200W,Hogar,2,1444,2888,Marketplace,Puebla
03/11/2025,Sudadera Hoodie Urban,Moda,2,899,1798,Tienda física,Nuevo León
03/11/2025,Crema Hidratante Aloe,Belleza,6,389,2334,Online,Nuevo León
03/12/2025,Lámpara LED Inteligente,Hogar,2,548.50,1097,Online,Puebla
03/12/2025,Set Ciencia Experimentos,Juguetes,2,535,1070,Móvil App,Jalisco
03/12/2025,Set Ciencia Experimentos,Juguetes,1,629,629,Online,Puebla
03/12/2025,Crema Hidratante Aloe,Belleza,1,389,389,Marketplace,CDMX
04/01/2026,Dron Junior HD,Juguetes,1,1599,1599,Marketplace,
04/01/2026,Cafetera Espresso Deluxe,Hogar,1,4598.50,4598.50,Marketplace,Puebla
04/01/2026,Barra de Sonido 2.1,Electrónica,1,2974,2974,Online,Puebla
04/01/2026,Set de Sábanas Queen 600h,Hogar,2,1199,,Móvil App,Puebla
04/01/2026,Camiseta Basic Cotton,Moda,1,319,319,Móvil App,CDMX
04/01/2026,Lentes de Sol Retro,Moda,,759,1518,Online,Puebla
04/01/2026,,Hogar,1,2754,2754,Online,CDMX
04/01/2026,Mancuernas Ajustables 10kg,Deportes,1,998.50,998.50,Online,Nuevo León
04/01/2026,Bolso de Cuero Milano,Moda,1,1424,1424,Online,Yucatán
04/01/2026,Smartphone X5,Electrónica,1,8549,8549,Online,Jalisco
04/01/2026,Perfume Noir Intense 100ml,Belleza,1,1898.50,1898.50,Móvil App,CDMX
04/02/2026,Lámpara LED Inteligente,Hogar,2,548.50,1097,Online,Puebla
04/02/2026,Consola Next X,Electrónica,2,13999,27998,Online,Chihuahua
04/02/2026,Crema Hidratante Aloe,Belleza,,389,389,Online,Puebla
04/02/2026,Mancuernas Ajustables 10kg,Deportes,1,849,849,Móvil App,Chihuahua
04/02/2026,Aspiradora Robot Clean+,Hogar,2,4799,9598,Tienda física,
04/02/2026,Consola Next X,Electrónica,1,13998.50,13998.50,Online,Puebla
04/09/2025,Rizador de Pelas Digital,Belleza,6,674,4044,Marketplace,Nuevo León
04/09/2025,,Juguetes,,1598.50,4795.50,Marketplace,Yucatán
04/09/2025,Cámara Action Go,Electrónica,1,7999,7999,Online,CDMX
04/09/2025,Juego de Mesa Familiar,Juguetes,2,449,898,Online,Nuevo León
04/09/2025,Vestido Floral Summer,Moda,2,824,1648,Marketplace,Yucatán
04/10/2025,Bloques Creativos 500pz,Juguetes,,898.50,1797,Online,Jalisco
04/10/2025,Banda de Correr Plegable,Deportes,2,12499,24998,Tienda física,Nuevo León
04/10/2025,Set Ciencia Experimentos,Juguetes,2,629,1258,Online,CDMX
04/11/2025,Tablet Galaxy 10",Electrónica,2,6498.50,12997,Online,CDMX
04/11/2025,Balón Soccer Pro FIFA,Deportes,3,548.50,1645.50,Online,CDMX
04/11/2025,Smartwatch Fit 3,Electrónica,5,3299,16495,Online,CDMX
04/11/2025,Kit Bandas Elásticas,Deportes,1,299,299,Online,Puebla
04/11/2025,Yoga Mat Premium,Deportes,1,649,649,Tienda física,Jalisco
04/11/2025,,Deportes,4,12499,49996,Marketplace,Jalisco
04/11/2025,Secadora Iónica 2200W,Belleza,1,1424,1424,Online,Puebla
04/12/2025,Set Ciencia Experimentos,Juguetes,1,598,598,Marketplace,CDMX
04/12/2025,Perfume Noir Intense 100ml,Belleza,2,1899,3798,Online,Puebla
04/12/2025,Casco Ciclismo Aero,Deportes,6,1299,7794,Online,CDMX
04/12/2025,Tenis Runner Air,Moda,1,2198.50,2198.50,Online,Chihuahua
