fecha,producto,categoria,cantidad,precio_unitario,total,canal,region
2024-01-01,Smartwatch Fit 3,Electrónica,2,3299,6598,Tienda física,Nuevo León
2024-01-02,Smartwatch Fit 3,Electrónica,1,3299,3299,Online,Chihuahua
2024-01-02,Peluche Oso Gigante 1.5m,Juguetes,1,522,522,Online,Nuevo León
2024-01-02,Pantalón Chino Slim,Moda,1,948.50,948.50,Tienda física,Jalisco
2024-01-02,Auto RC Turbo Rally,Juguetes,1,778.50,778.50,Móvil App,Jalisco
2024-01-03,Casco Ciclismo Aero,Deportes,1,1299,1299,Tienda física,Puebla
2024-01-03,Vestido Floral Summer,Moda,1,1099,1099,Online,Chihuahua
2024-01-04,Aspiradora Robot Clean+,Hogar,1,5699,5699,Móvil App,Jalisco
2024-01-04,Banda de Correr Plegable,Deportes,2,12498.50,24997,Marketplace,Jalisco
2024-01-05,Aspiradora Robot Clean+,Hogar,3,5999,17997,Online,CDMX
2024-01-05,Sudadera Hoodie Urban,Moda,2,854,1708,Online,Nuevo León
2024-01-05,Barra de Sonido 2.1,Electrónica,4,2799,11196,Marketplace,Yucatán
2024-01-06,Purificador de Aire Mini,Hogar,4,2898.50,11594,Marketplace,CDMX
2024-01-06,Licuadora Turbo 1200W,Hogar,2,1699,3398,Tienda física,CDMX
2024-01-06,Audífonos ANC Studio,Electrónica,2,2499,4998,Online,Chihuahua
2024-01-08,Kit Bandas Elásticas,Deportes,1,254,254,Marketplace,Jalisco
2024-01-08,Camiseta Basic Cotton,Moda,1,359,359,Marketplace,Jalisco
2024-01-09,Cámara Action Go,Electrónica,2,7999,15998,Tienda física,Jalisco
2024-01-09,Sudadera Hoodie Urban,Moda,3,674,2022,Marketplace,Yucatán
2024-01-09,Purificador de Aire Mini,Hogar,2,2899,5798,Online,Nuevo León
2024-01-09,Rizador de Pelas Digital,Belleza,1,898.50,898.50,Online,CDMX
2024-01-09,Crema Hidratante Aloe,Belleza,3,311,933,Tienda física,Chihuahua
2024-01-09,Camiseta Basic Cotton,Moda,3,399,1197,Tienda física,CDMX
2024-01-11,Balón Soccer Pro FIFA,Deportes,1,548.50,548.50,Online,CDMX
2024-01-11,Perfume Noir Intense 100ml,Belleza,2,1424,2848,Tienda física,CDMX
2024-01-11,Barra de Sonido 2.1,Electrónica,1,3499,3499,Tienda física,Jalisco
2024-01-11,Bloques Creativos 500pz,Juguetes,3,809,2427,Tienda física,CDMX
2024-01-11,Sudadera Hoodie Urban,Moda,2,899,1798,Online,Nuevo León
2024-01-11,Bloques Creativos 500pz,Juguetes,1,899,899,Online,Jalisco
2024-01-13,Teclado Mecánico RGB,Electrónica,2,1598.50,3197,Online,CDMX
2024-01-14,Kit Bandas Elásticas,Deportes,1,299,299,Tienda física,Jalisco
2024-01-14,Set de Sábanas Queen 600h,Hogar,6,1198.50,7191,Online,CDMX
2024-01-14,Paleta de Sombras Nude,Belleza,1,499,499,Online,Nuevo León
2024-01-14,Dron Junior HD,Juguetes,2,1599,3198,Online,CDMX
2024-01-16,Bolso de Cuero Milano,Moda,6,1899,11394,Online,Yucatán
2024-01-17,Smartphone X5,Electrónica,3,8999,26997,Online,Nuevo León
2024-01-17,Perfume Noir Intense 100ml,Belleza,1,1899,1899,Online,CDMX
2024-01-18,Balón Soccer Pro FIFA,Deportes,1,439,439,Online,Jalisco
2024-01-19,Rizador de Pelas Digital,Belleza,1,899,899,Online,Jalisco
2024-01-20,Bicicleta Urbana R26,Deportes,1,7998.50,7998.50,Online,Puebla
2024-01-20,Laptop Pro 14,Electrónica,3,18999,56997,Online,Chihuahua
2024-01-21,Vestido Floral Summer,Moda,1,879,879,Marketplace,Chihuahua
2024-01-21,Mancuernas Ajustables 10kg,Deportes,1,998.50,998.50,Online,CDMX
2024-01-22,Dron Junior HD,Juguetes,1,1599,1599,Online,Jalisco
2024-01-22,Kit Bandas Elásticas,Deportes,2,299,598,Online,Puebla
2024-01-22,Casco Ciclismo Aero,Deportes,2,1299,2598,Móvil App,Jalisco
2024-01-22,Chamarra Denim Classic,Moda,2,1169,2338,Marketplace,CDMX
2024-01-22,Smartwatch Fit 3,Electrónica,2,3299,6598,Móvil App,Jalisco
2024-01-26,Licuadora Turbo 1200W,Hogar,1,1698.50,1698.50,Tienda física,Nuevo León
2024-01-26,Juego de Mesa Familiar,Juguetes,1,382,382,Online,Nuevo León
2024-01-26,Aspiradora Robot Clean+,Hogar,3,4799,14397,Online,Chihuahua
2024-01-26,Crema Hidratante Aloe,Belleza,3,389,1167,Online,Puebla
2024-01-27,Juego de Mesa Familiar,Juguetes,5,382,1910,Marketplace,CDMX
2024-01-28,Tablet Galaxy 10",Electrónica,2,5849,11698,Móvil App,Chihuahua
2024-01-28,Smart TV 55'',Electrónica,2,11498.50,22997,Online,Jalisco
2024-01-29,Smartwatch Fit 3,Electrónica,1,2639,2639,Online,CDMX
2024-01-29,Lentes de Sol Retro,Moda,1,759,759,Online,Puebla
2024-01-29,Barra de Sonido 2.1,Electrónica,1,2799,2799,Marketplace,Jalisco
2024-01-30,Audífonos ANC Studio,Electrónica,2,2499,4998,Móvil App,Chihuahua
2024-01-30,Yoga Mat Premium,Deportes,1,584,584,Tienda física,CDMX
2024-01-30,Secadora Iónica 2200W,Belleza,2,1274,2548,Móvil App,Jalisco
2024-01-30,Teclado Mecánico RGB,Electrónica,1,1439,1439,Tienda física,CDMX
2024-01-31,Set de Sábanas Queen 600h,Hogar,1,1199,1199,Online,Nuevo León
2024-01-31,Smart TV 55'',Electrónica,2,11499,22998,Tienda física,Yucatán
2024-01-31,Tablet Galaxy 10",Electrónica,1,6499,6499,Móvil App,Puebla
2024-01-31,Purificador de Aire Mini,Hogar,6,2899,17394,Online,CDMX
2024-01-31,Casco Ciclismo Aero,Deportes,1,1299,1299,Tienda física,Jalisco
2024-01-31,Perfume Noir Intense 100ml,Belleza,1,1899,1899,Online,CDMX
2024-01-31,Auto RC Turbo Rally,Juguetes,1,584,584,Online,CDMX
2024-02-01,Set Ciencia Experimentos,Juguetes,1,598,598,Móvil App,Puebla
2024-02-01,Licuadora Turbo 1200W,Hogar,1,1359,1359,Tienda física,Yucatán
2024-02-01,Perfume Noir Intense 100ml,Belleza,1,1614,1614,Marketplace,Puebla
