fecha,producto,categoria,cantidad,precio_unitario,total,canal,region
2026-01-01,Aspiradora Robot Clean+,Hogar,1,5099,5099,Móvil App,Yucatán
2026-01-01,Auto RC Turbo Rally,Juguetes,1,778.50,778.50,Móvil App,Nuevo León
2026-01-01,Vestido Floral Summer,Moda,1,1098.50,1098.50,Móvil App,Nuevo León
2026-01-01,Lámpara LED Inteligente,Hogar,2,522,1044,Móvil App,Chihuahua
2026-01-02,Teclado Mecánico RGB,Electrónica,1,1279,1279,Online,Puebla
2026-01-02,Tablet Galaxy 10",Electrónica,2,6499,12998,Online,CDMX
2026-01-02,Pantalón Chino Slim,Moda,2,759,1518,Tienda física,Nuevo León
2026-01-02,Lámpara LED Inteligente,Hogar,2,439,878,Marketplace,Jalisco
2026-01-02,Set de Sábanas Queen 600h,Hogar,1,899,899,Online,CDMX
2026-01-02,Mancuernas Ajustables 10kg,Deportes,1,899,899,Marketplace,CDMX
2026-01-02,Smart TV 55'',Electrónica,2,11499,22998,Marketplace,Jalisco
2026-01-02,Cafetera Espresso Deluxe,Hogar,1,4598.50,4598.50,Tienda física,Jalisco
2026-01-02,Mancuernas Ajustables 10kg,Deportes,2,999,1998,Online,CDMX
2026-01-02,Yoga Mat Premium,Deportes,1,648.50,648.50,Marketplace,Nuevo León
2026-01-03,Serum Vitamina C 30ml,Belleza,3,658.50,1975.50,Móvil App,Jalisco
2026-01-03,Tablet Galaxy 10",Electrónica,1,6499,6499,Marketplace,CDMX
2026-01-03,Balón Soccer Pro FIFA,Deportes,2,549,1098,Online,CDMX
2026-01-03,Bolso de Cuero Milano,Moda,3,1424,4272,Marketplace,Chihuahua
2026-01-03,Camiseta Basic Cotton,Moda,1,399,399,Online,Chihuahua
2026-01-03,Tablet Galaxy 10",Electrónica,1,6498.50,6498.50,Online,CDMX
2026-01-03,Bloques Creativos 500pz,Juguetes,1,899,899,Marketplace,Jalisco
2026-01-03,Auto RC Turbo Rally,Juguetes,1,779,779,Marketplace,Chihuahua
2026-01-04,Sudadera Hoodie Urban,Moda,1,674,674,Online,CDMX
2026-01-04,Kit Bandas Elásticas,Deportes,1,299,299,Marketplace,CDMX
2026-01-04,Purificador de Aire Mini,Hogar,2,2898.50,5797,Móvil App,CDMX
2026-01-04,Serum Vitamina C 30ml,Belleza,2,527,1054,Tienda física,Nuevo León
2026-01-04,Crema Hidratante Aloe,Belleza,2,389,778,Marketplace,Nuevo León
2026-01-05,Mancuernas Ajustables 10kg,Deportes,1,749,749,Online,Nuevo León
2026-01-05,Bloques Creativos 500pz,Juguetes,1,719,719,Marketplace,CDMX
2026-01-05,Set de Sábanas Queen 600h,Hogar,2,1198.50,2397,Online,CDMX
2026-01-05,Kit Bandas Elásticas,Deportes,2,299,598,Online,Chihuahua
2026-01-06,Purificador de Aire Mini,Hogar,2,2464,4928,Online,Chihuahua
2026-01-06,Bolso de Cuero Milano,Moda,1,1898.50,1898.50,Online,Chihuahua
2026-01-06,Pantalón Chino Slim,Moda,2,949,1898,Online,Jalisco
2026-01-06,Auto RC Turbo Rally,Juguetes,1,779,779,Marketplace,Nuevo León
2026-01-06,Perfume Noir Intense 100ml,Belleza,3,1899,5697,Marketplace,CDMX
2026-01-06,Vestido Floral Summer,Moda,2,1099,2198,Móvil App,Puebla
2026-01-07,Barra de Sonido 2.1,Electrónica,1,3499,3499,Tienda física,CDMX
2026-01-07,Barra de Sonido 2.1,Electrónica,1,2974,2974,Marketplace,Yucatán
2026-01-07,Paleta de Sombras Nude,Belleza,1,499,499,Online,Puebla
2026-01-07,Barra de Sonido 2.1,Electrónica,1,3499,3499,Tienda física,Nuevo León
2026-01-07,Peluche Oso Gigante 1.5m,Juguetes,4,549,2196,Tienda física,Puebla
2026-01-08,Teclado Mecánico RGB,Electrónica,1,1598.50,1598.50,Tienda física,Jalisco
2026-01-08,Mancuernas Ajustables 10kg,Deportes,1,999,999,Tienda física,Yucatán
2026-01-08,Casco Ciclismo Aero,Deportes,1,1234,1234,Online,CDMX
2026-01-08,Smartwatch Fit 3,Electrónica,4,3299,13196,Móvil App,CDMX
2026-01-09,Auto RC Turbo Rally,Juguetes,2,778.50,1557,Tienda física,Yucatán
2026-01-09,Banda de Correr Plegable,Deportes,3,12499,37497,Móvil App,Nuevo León
2026-01-09,Barra de Sonido 2.1,Electrónica,2,3499,6998,Móvil App,CDMX
2026-01-09,Smartwatch Fit 3,Electrónica,1,3298.50,3298.50,Marketplace,Yucatán
2026-01-09,Bloques Creativos 500pz,Juguetes,1,899,899,Online,CDMX
2026-01-09,Perfume Noir Intense 100ml,Belleza,3,1899,5697,Marketplace,Jalisco
